event_id,timestamp,source_ip,endpoint,attack_type,severity,payload_sample,detected_by_ruleset
evt_01984,2026-08-01 02:29:46,116.110.158.202,/admin/login,none,low,-,0
evt_02311,2026-08-01 02:35:42,134.123.218.196,/api/v1/users,none,low,-,0
evt_02148,2026-08-01 02:52:34,169.244.166.69,/search,sqli,critical,q=' OR '1'='1' --,1
evt_02484,2026-08-01 05:34:21,177.53.25.238,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_02340,2026-08-01 07:15:13,27.78.221.112,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_02377,2026-08-01 07:29:45,49.102.48.138,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_02455,2026-08-01 08:29:48,203.75.183.180,/api/v1/users,none,low,-,0
evt_01176,2026-08-01 10:19:47,215.53.45.167,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_02221,2026-08-01 11:07:42,153.107.150.96,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01414,2026-08-01 13:09:53,75.91.81.197,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_02279,2026-08-01 13:39:06,91.190.184.32,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01394,2026-08-01 14:19:59,51.234.58.68,/api/v1/users,none,low,-,0
evt_00190,2026-08-01 15:41:21,32.249.3.40,/upload,none,low,-,0
evt_00062,2026-08-01 17:25:42,148.251.160.134,/config/exposed.env,none,low,-,0
evt_00059,2026-08-01 17:33:43,179.24.52.100,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01350,2026-08-01 17:37:15,136.223.79.173,/api/v1/users,none,low,-,0
evt_01722,2026-08-01 17:44:55,223.245.34.91,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_02500,2026-08-01 18:08:27,78.141.141.228,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00955,2026-08-01 19:06:23,143.179.228.81,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01888,2026-08-01 19:36:03,168.116.26.150,/config/exposed.env,none,low,-,0
evt_01258,2026-08-01 20:36:01,28.248.98.26,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01762,2026-08-01 21:07:03,91.12.154.240,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
